gene	chrom	start	end	strand
CEP41	7	130033611	130081051	-
CEP43	6	167412804	167466206	+
CEP44	4	175205054	175254531	+
CEP55	10	95256368	95288849	+
CEP57	11	95523624	95565857	+
CEP57L1	6	109416365	109495621	+
CEP63	3	134204565	134293855	+
CEP68	2	65283549	65314138	+
CEP70	3	138213186	138313225	-
CEP72	5	612454	668859	+
CEP76	18	12661954	12702776	-
CEP78	9	80850990	80894606	+
CEP83	12	94700169	94854230	-
CEP83-DT	12	94853778	94856344	+
CEP85	1	26560690	26605299	+
CEP85L	6	118781934	119031238	-
CEP89	19	33366830	33462864	-
CEP95	17	62503094	62534062	+
CEP97	3	101443457	101489406	+
CEPT1	1	111682004	111727726	+
CER1	9	14719723	14722731	-
CERCAM	9	131181438	131199630	+
CERK	22	47080306	47134149	-
CERKL	2	182401400	182521834	-
CERNA1	15	52472222	52498076	+
CERNA2	10	85926983	85931832	-
CERNA3	8	56987150	56987833	+
CEROX1	16	1025760	1031613	-
CERS1	19	18979353	19007536	-
CERS2	1	150937648	150947479	-
CERS3	15	100940599	101084888	-
CERS3-AS1	15	100913143	100978119	+
CERS4	19	8274253	8327304	+
CERS5	12	50523071	50561316	-
CERS6	2	169312781	169631644	+
CERS6-AS1	2	169628460	169642939	-
CERT1	5	74664310	74807806	-
CES1	16	55836763	55867008	-
CES1P1	16	55794510	55808826	+
CES1P2	16	55758836	55784123	+
CES2	16	66968373	66978994	+
CES3	16	66995168	67009052	+
CES4A	16	67022491	67044320	+
CES5A	16	55880065	55989943	-
CES5AP1	22	23701792	23724313	-
CETN1	18	580379	582114	+
CETN2	X	151995537	151999301	-
CETN3	5	89688073	89705603	-
CETN4P	4	123651343	123653613	-
CETP	16	56995861	57017757	+
CFAP100	3	126113751	126155399	+
CFAP126	1	161334522	161337666	-
CFAP157	9	130469266	130478281	+
CFAP161	15	81426610	81441520	+
CFAP20	16	58147491	58163329	-
CFAP206	6	88117689	88174183	+
CFAP20DC	3	58727734	59035758	-
CFAP20DC-AS1	3	58810196	59004819	+
CFAP221	2	120302007	120414237	+
CFAP251	12	122356497	122441825	+
CFAP298	21	33971664	33985181	-
CFAP298-TCP10L	21	33935814	33984687	-
CFAP299	4	81256873	81884910	+
CFAP300	11	101918167	101955291	+
CFAP36	2	55746730	55772216	+
CFAP410	21	45748826	45759273	-
CFAP43	10	105889645	105992122	-
CFAP44	3	113005776	113160361	-
CFAP44-AS1	3	113122844	113152839	+
CFAP45	1	159842153	159869955	-
CFAP46	10	134621895	134756074	-
CFAP47	X	35937850	36403432	+
CFAP52	17	9479958	9546764	+
CFAP53	18	47753563	47792865	-
CFAP54	12	96883354	97269333	+
CFAP57	1	43638000	43720029	+
CFAP58	10	106113590	106214860	+
CFAP58-DT	10	106111058	106113333	-
CFAP61	20	20033175	20341340	+
CFAP65	2	219867567	219906273	-
CFAP69	7	89874487	89940377	+
CFAP70	10	75013515	75118622	-
CFAP73	12	113587662	113597081	+
CFAP74	1	1853395	1935225	-
CFAP77	9	135285597	135448706	+
CFAP91	3	119421868	119485949	+
CFAP92	3	128628715	128722845	-
CFAP94	12	25261222	25348094	-
CFAP97	4	186080818	186125154	-
CFAP97D1	17	41857802	41864982	+
CFAP99	4	2420681	2464690	+
CFB	6	31913871	31919861	+
CFC1	2	131349737	131357148	-
CFC1B	2	131278794	131286176	+
CFD	19	859663	863641	+
CFDP1	16	75327607	75467401	-
CFH	1	196621007	196716634	+
CFHR1	1	196788860	196801319	+
CFHR2	1	196912867	196928750	+
CFHR3	1	196743929	196764537	+
CFHR4	1	196857181	196887763	+
CFHR5	1	196946685	196978808	+
CFI	4	110652137	110723155	-
CFL1	11	65622143	65625651	-
CFL1P1	10	89578069	89605369	+
CFL2	14	35178318	35184029	-
CFLAR	2	201980826	202041410	+
CFLAR-AS1	2	202005011	202022515	-
CFP	X	47482680	47489704	-
CFTR	7	117120078	117308718	+
CFTR-AS1	7	117182574	117204730	-
CGA	6	87795215	87804824	-
CGAS	6	74133433	74162020	-
CGB1	19	49538825	49540152	-
CGB2	19	49535146	49536495	+
CGB3	19	49526125	49527632	-
CGB5	19	49547104	49548568	+
CGB7	19	49557530	49561006	-
CGB8	19	49550894	49552368	-
CGGBP1	3	88101099	88199016	-
CGN	1	151483862	151511167	+
CGNL1	15	57668702	57842915	+
CGREF1	2	27322220	27341996	-
CGRRF1	14	54976623	55006009	+
CH17-340M24.3	X	153652722	153656825	-
CH25H	10	90965385	90967074	-
CHAC1	15	41245668	41248710	+
CHAC2	2	53994919	54002333	+
CHAD	17	48541856	48546241	-
CHADL	22	41625516	41636935	-
CHAF1A	19	4402636	4443394	+
CHAF1B	21	37757689	37791313	+
CHAMP1	13	115079977	115092797	+
CHASERR	15	93426072	93441977	+
CHAT	10	50817140	50875987	+
CHCHD1	10	75541805	75543410	+
CHCHD10	22	24108020	24110159	-
CHCHD2	7	56169254	56174323	-
CHCHD3	7	132469622	132766918	-
CHCHD4	3	14153576	14166370	-
CHCHD5	2	113342023	113346617	+
CHCHD6	3	126423082	126679263	+
CHCHD7	8	57124196	57131368	+
CHD1	5	98189690	98264711	-
CHD1L	1	146644325	146767447	+
CHD2	15	93443553	93571226	+
CHD3	17	7788113	7816073	+
CHD4	12	6679247	6716545	-
CHD5	1	6161846	6240381	-
CHD6	20	40030722	40247016	-
CHD7	8	61591298	61780586	+
CHD8	14	21853357	21924282	-
CHD9	16	53088902	53361409	+
CHDH	3	53846361	53880446	-
CHEK1	11	125495030	125546151	+
CHEK2	22	29083730	29137822	-
CHEK2P2	15	20487996	20496811	+
CHERP	19	16628704	16653248	-
CHFR	12	133408941	133464204	-
CHGA	14	93389494	93401630	+
CHGB	20	5892155	5905999	+
CHI3L1	1	203148058	203155832	-
CHI3L2	1	111770280	111786062	+
CHIA	1	111833472	111863185	+
CHIAP2	1	111823145	111828730	+
CHIC1	X	72782983	72906944	+
CHIC2	4	54875957	54930772	-
CHID1	11	867858	915058	-
CHIT1	1	203185206	203198801	-
CHKA	11	67820325	67888855	-
CHKB	22	51017391	51021278	-
CHKB-CPT1B	22	51007289	51021428	-
CHKB-DT	22	51021454	51033710	+
CHL1	3	238278	451097	+
CHL1-AS1	3	405055	427478	-
CHL1-AS2	3	237440	239024	-
CHM	X	85116184	85302562	-
CHML	1	241792152	241803671	-
CHMP1A	16	89710843	89724116	-
CHMP1B	18	11851411	11854443	+
CHMP1B2P	X	79483987	79590817	-
CHMP2A	19	59062932	59066472	-
CHMP2B	3	87276458	87304706	+
CHMP3	2	86730552	86790566	-
CHMP4A	14	24678820	24682694	-
CHMP4B	20	32399153	32442172	+
CHMP4C	8	82644682	82671748	+
CHMP5	9	33264876	33282068	+
CHMP6	17	78965640	78973933	+
CHMP7	8	23101149	23119512	+
CHN1	2	175663536	175870109	-
CHN2	7	29186162	29553951	+
CHN2-AS1	7	29238655	29248586	-
CHODL	21	19289656	19639687	+
CHODL-AS1	21	19207988	19257925	-
CHORDC1	11	89933597	89956532	-
CHORDC1P4	18	2943210	2946621	-
CHP1	15	41523465	41574083	+
CHP1P2	6	160514113	160517244	+
CHP2	16	23766346	23770256	+
CHPF	2	220403668	220408531	-
CHPF2	7	150929568	150935913	+
CHPT1	12	102091417	102122852	+
CHRAC1	8	141521420	141527253	+
CHRD	3	184097860	184108526	+
CHRDL1	X	109917083	110039045	-
CHRDL2	11	74407472	74442471	-
CHRFAM7A	15	30652768	30685864	-
CHRM1	11	62676150	62688835	-
CHRM2	7	136553398	136704960	+
CHRM3	1	239549867	240078749	+
CHRM3-AS1	1	240061318	240063172	-
CHRM3-AS2	1	239870425	239882419	-
CHRM4	11	46405340	46413326	-
CHRM5	15	34260697	34359659	+
CHRNA1	2	175612321	175629200	-
CHRNA10	11	3686816	3692614	-
CHRNA2	8	27317272	27336778	-
CHRNA3	15	78885394	78913338	-
CHRNA4	20	61974574	61992701	-
CHRNA5	15	78857861	78887611	+
CHRNA6	8	42607779	42623929	-
CHRNA7	15	32322685	32465219	+
CHRNA9	4	40337349	40357234	+
CHRNB1	17	7348379	7361029	+
CHRNB2	1	154540253	154552486	+
CHRNB3	8	42552508	42592550	+
CHRNB4	15	78916452	78933552	-
CHRND	2	233390869	233401375	+
CHRNE	17	4801065	4806393	-
CHRNG	2	233404401	233412825	+
CHROMR	2	179278385	179304970	+
CHST1	11	45669238	45687172	-
CHST10	2	101008321	101034130	-
CHST11	12	104850725	105155792	+
CHST12	7	2443245	2488119	+
CHST13	3	126242997	126262134	+
CHST14	15	40763182	40765357	+
CHST15	10	125767183	125853114	-
CHST2	3	142838612	142842856	+
CHST3	10	73724152	73773314	+
CHST4	16	71560022	71572651	+
CHST5	16	75562427	75570006	-
CHST6	16	75505939	75529339	-
CHST7	X	46433199	46457931	+
CHST8	19	34112858	34264414	+
CHST9	18	24486444	24765272	-
CHSY1	15	101715931	101792253	-
CHSY3	5	129240157	129522327	+
CHTF18	16	838619	848074	+
CHTF8	16	69151912	69166491	-
CHTOP	1	153606457	153618782	+
CHUK	10	101948054	101989367	-
CHURC1	14	65381078	65402084	+
CHURC1-FNTB	14	65381078	65529373	+
CIAO1	2	96931962	96939900	+
CIAO2A	15	64364757	64386207	-
CIAO2B	16	66965967	66968305	-
CIAO3	16	779764	790997	-
CIAPIN1	16	57462080	57481440	-
CIART	1	150254963	150259504	+
CIB1	15	90773206	90808991	-
CIB2	15	78396947	78423877	-
CIB3	19	16272178	16284336	-
CIB4	2	26804072	26864234	-
CIBAR1	8	94712777	94743755	+
CIBAR1P2	4	183958817	183961272	+
CIBAR2	16	85131963	85146078	-
CIC	19	42772681	42799948	+
CIDEA	18	12254359	12277594	+
CIDEB	14	24774301	24780641	-
CIDEC	3	9908393	9921938	-
CIDECP1	3	10059236	10067820	-
CIITA	16	10971054	11030250	+
CILK1	6	52866103	52926622	-
CILP	15	65487097	65503811	-
CILP2	19	19649073	19657468	+
CINP	14	102814618	102829253	-
CIP2A	3	108268712	108308285	-
CIPC	14	77564600	77583630	+
CIR1	2	175212749	175260440	-
CIRBP	19	1269266	1274879	+
CIRBP-AS1	19	1267469	1270259	-
CISD1	10	60028921	60049345	+
CISD2	4	103790148	103813963	+
CISD3	17	36886593	36891858	+
CISH	3	50643884	50649205	-
CISTR	12	54144230	54150818	-
CIT	12	120123595	120315124	-
CITED1	X	71521487	71527007	-
CITED2	6	139692943	139695785	-
CITED4	1	41326725	41328035	-
CIZ1	9	130928343	130966501	-
CKAP2	13	53029494	53050766	+
CKAP2L	2	113493926	113522186	-
CKAP4	12	106631658	106641798	-
CKAP5	11	46764597	46867859	-
CKB	14	103986003	103989167	-
CKLF	16	66586465	66600190	+
CKLF-CMTM1	16	66586478	66613038	+
CKM	19	45809670	45826133	-
CKMT1A	15	43984983	43991420	+
CKMT1B	15	43885054	43891604	+
CKMT2	5	80529138	80562217	+
CKMT2-AS1	5	80533383	80597388	-
CKS1B	1	154947117	154951727	+
CKS2	9	91926109	91931618	+
CLASP1	2	122095351	122407038	-
CLASP2	3	33537738	33759746	-
CLASRP	19	45542302	45574214	+
CLBA1	14	105452124	105461853	+
CLC	19	40221894	40228669	-
CLCA1	1	86934609	86965942	+
CLCA2	1	86889853	86922236	+
CLCA3P	1	87099958	87121059	+
CLCA4	1	87012760	87046432	+
CLCA4-AS1	1	87036863	87170176	-
CLCC1	1	109472127	109506106	-
CLCF1	11	67131638	67141648	-
CLCN1	7	143013203	143049176	+
CLCN2	3	184063972	184079393	-
CLCN3	4	170541728	170644822	+
CLCN4	X	10124984	10205699	+
CLCN5	X	49687205	49863892	+
CLCN6	1	11866152	11903201	+
CLCN7	16	1494933	1525085	-
CLCNKA	1	16348530	16360545	+
CLCNKB	1	16370276	16383821	+
CLDN1	3	190023500	190040235	-
CLDN10	13	96085852	96232013	+
CLDN10-AS1	13	96131697	96186164	-
CLDN11	3	170136655	170152479	+
CLDN12	7	90032774	90045268	+
CLDN14	21	37832919	37948867	-
CLDN15	7	100875372	100882101	-
CLDN16	3	190008149	190129927	+
CLDN17	21	31537884	31539123	-
CLDN18	3	137717657	137752491	+
CLDN19	1	43198763	43205925	-
CLDN2	X	106143393	106174091	+
CLDN20	6	155585146	155597682	+
CLDN22	4	184239252	184241429	-
CLDN23	8	8559446	8561606	+
CLDN24	4	184242916	184243579	-
CLDN25	11	113650517	113651207	+
CLDN3	7	73183326	73184600	-
CLDN34	X	9935397	9936392	+
CLDN4	7	73245325	73247019	+
CLDN5	22	19510546	19512860	-
CLDN6	16	3064712	3068184	-
CLDN7	17	7163221	7166512	-
CLDN8	21	31586323	31588415	-
CLDN9	16	3062923	3064506	+
CLDND1	3	98234316	98241910	-
CLDND2	19	51870351	51872257	-
CLEC10A	17	6977855	6983570	-
CLEC11A	19	51226620	51228965	+
CLEC12A	12	10103866	10138194	+
CLEC12A-AS1	12	10100735	10105936	-
CLEC12B	12	10163225	10171399	+
CLEC14A	14	38723204	38725298	-
CLEC16A	16	11038344	11276043	+
CLEC17A	19	14693895	14722847	+
CLEC18A	16	69984607	69997889	+
CLEC18B	16	74442528	74456039	-
CLEC18C	16	70207689	70220798	+
CLEC19A	16	19297052	19322269	+
CLEC1A	12	10222152	10251584	-
CLEC1B	12	10145660	10151899	-
CLEC2A	12	10051274	10084969	-
CLEC2B	12	10004967	10022458	-
CLEC2D	12	9822308	9852148	+
CLEC2L	7	139208430	139229731	+
CLEC3A	16	78056444	78065998	+
CLEC3B	3	45067794	45077563	+
CLEC4A	12	8276227	8291203	+
CLEC4C	12	7881978	7902137	-
CLEC4D	12	8666098	8674960	+
CLEC4E	12	8685900	8693501	-
CLEC4F	2	71035775	71047731	-
CLEC4G	19	7793842	7797057	-
CLEC4GP1	19	7852369	7855898	+
CLEC4M	19	7828128	7834491	+
CLEC4O	19	15962803	15975734	-
CLEC5A	7	141627156	141646774	-
CLEC6A	12	8608557	8630926	+
CLEC7A	12	10269375	10282798	-
CLEC9A	12	10183280	10218630	+
CLECL1	12	9868455	9885895	-
CLGN	4	141309606	141348815	-
CLHC1	2	55399685	55459699	-
CLIC1	6	31698357	31705095	-
CLIC2	X	154505499	154563923	-
CLIC3	9	139889059	139891020	-
CLIC4	1	25071937	25170810	+
CLIC5	6	45866189	46097556	-
CLIC6	21	36041292	36090521	+
CLINT1	5	157212754	157286153	-
CLIP1	12	122755977	122907216	-
CLIP1-AS1	12	122880088	122884491	+
CLIP2	7	73703736	73820265	+
CLIP3	19	36505561	36523775	-
CLIP4	2	29320541	29406674	+
CLK1	2	201717731	201729381	-
CLK2	1	155232658	155243295	-
CLK2P1	7	23624334	23626146	-
CLK3	15	74900712	74922542	+
CLK4	5	178029664	178054051	-
CLLU1	12	92815306	92824778	+
CLLU1-AS1	12	92813861	92826775	-
CLMAT3	5	151056505	151067468	+
CLMN	14	95648276	95786245	-
CLMP	11	122940579	123065956	-
CLN3	16	28477973	28503403	-
CLN5	13	77566215	77579252	+
CLN6	15	68499329	68522066	-
CLN8	8	1711954	1734736	+
CLNK	4	10488018	10686392	-
CLNS1A	11	77325574	77348851	-
CLOCK	4	56294067	56413076	-
CLP1	11	57425215	57429337	+
CLPB	11	71996539	72145728	-
CLPP	19	6361541	6370253	+
CLPS	6	35762758	35765121	-
CLPSL1	6	35748795	35761763	+
CLPSL2	6	35744374	35747329	+
CLPTM1	19	45457841	45496604	+
CLPTM1L	5	1317866	1345214	-
CLPX	15	65440557	65477680	-
CLRN1	3	150643949	150690786	-
CLRN1-AS1	3	150690464	150798513	+
CLRN2	4	17516787	17528727	+
CLRN3	10	129676104	129691205	-
CLSPN	1	36185813	36235579	-
CLSTN1	1	9788983	9884584	-
CLSTN2	3	139654026	140296238	+
CLSTN2-AS1	3	140224459	140227631	-
CLSTN3	12	7282966	7311530	+
CLTA	9	36190852	36212059	+
CLTB	5	175819452	175843570	-
CLTC	17	57697049	57774317	+
CLTCL1	22	19166985	19279242	-
CLTRN	X	15645440	15682928	-
CLU	8	27454433	27472217	-
CLUAP1	16	3551003	3589051	+
CLUH	17	2592680	2615314	-
CLUHP3	16	31711933	31718745	+
CLUL1	18	596987	650293	+
CLVS1	8	62200528	62414188	+
CLVS2	6	123317379	123394070	+
CLYBL	13	100258917	100561698	+
CLYBL-AS1	13	100377923	100381255	-
CLYBL-AS2	13	100342351	100343225	-
CMA1	14	24974558	24977471	-
CMAHP	6	25081294	25138620	-
CMAS	12	22199107	22218606	+
CMBL	5	10277706	10308014	-
CMC1	3	28283109	28366618	+
CMC2	16	81000344	81040490	-
CMC4	X	154289897	154299411	-
CMIP	16	81478774	81745367	+
CMKLR1	12	108681820	108733088	-
CMPK1	1	47799461	47844511	+
CMPK2	2	6980683	7006766	-
CMSS1	3	99536705	99900576	+
CMTM1	16	66600341	66613038	+
CMTM2	16	66613365	66622177	+
CMTM3	16	66637898	66647795	+
CMTM4	16	66648652	66730646	-
CMTM5	14	23846254	23848981	+
CMTM6	3	32522803	32544344	-
CMTM7	3	32433344	32497020	+
CMTM8	3	32280170	32411817	+
CMTR1	6	37400996	37449284	+
CMTR2	16	71315295	71323625	-
CMYA5	5	78985658	79096044	+
CNBD1	8	87878642	88395087	+
CNBD2	20	34556511	34618622	+
CNBP	3	128886669	128902739	-
CNDP1	18	72201734	72254447	+
CNDP2	18	72163597	72190689	+
CNEP1R1	16	50059116	50070999	+
CNFN	19	42891170	42894449	-
CNGA1	4	47937993	48018698	-
CNGA2	X	150903217	150914036	+
CNGA3	2	98962918	99015064	+
CNGA4	11	6260318	6265709	+
CNGB1	16	57916243	58005032	-
CNGB3	8	87586406	87755862	-
CNIH1	14	54890278	54908092	-
CNIH2	11	66045645	66051677	+
CNIH3	1	224622341	224928256	+
CNIH4	1	224544580	224567153	+
CNKSR1	1	26503981	26516375	+
CNKSR2	X	21392535	21672807	+
CNKSR3	6	154708648	154831819	-
CNMD	13	53277400	53313955	-
CNN1	19	11649665	11661138	+
CNN2	19	1026606	1039064	+
CNN3	1	95362504	95392779	-
CNN3-DT	1	95391915	95428826	+
CNNM1	10	101088855	101154087	+
CNNM2	10	104678050	104849979	+
CNNM3	2	97482004	97501119	+
CNNM3-DT	2	97477975	97479394	-
CNNM4	2	97426638	97477610	+
CNOT1	16	58553854	58663730	-
CNOT10	3	32726679	32815367	+
CNOT11	2	101869347	101886778	+
CNOT2	12	70636809	70748773	+
CNOT3	19	54641477	54659419	+
CNOT4	7	135046546	135194875	-
CNOT6	5	179921378	180005357	+
CNOT6L	4	78634540	78741423	-
CNOT7	8	17082474	17104418	-
CNOT8	5	154237808	154256352	+
CNOT9	2	219433302	219461799	+
CNP	17	40118812	40129758	+
CNPPD1	2	220036618	220042878	-
CNPY1	7	155293824	155363441	-
CNPY2	12	56703627	56710132	-
CNPY3	6	42895739	42907032	+
CNPY3-GNMT	6	42897217	42931618	+
CNPY4	7	99717256	99723128	+
CNR1	6	88849584	88877068	-
CNR2	1	24197005	24239852	-
CNRIP1	2	68511302	68547081	-
CNST	1	246729638	246831897	+
CNTD1	17	40950878	40963605	+
CNTF	11	58390137	58393205	+
CNTFR	9	34551429	34590138	-
CNTFR-AS1	9	34568009	34583070	+
CNTLN	9	17135037	17503921	+
CNTN1	12	41086240	41466217	+
CNTN2	1	205012076	205047417	+
CNTN3	3	74311719	74570291	-
CNTN4	3	2140486	3099645	+
CNTN4-AS1	3	3081344	3102829	-
CNTN4-AS2	3	2152092	2185925	-
CNTN5	11	98891678	100229616	+
CNTN6	3	1134707	1445901	+
CNTNAP1	17	40834548	40852011	+
CNTNAP2	7	146471362	148118088	+
CNTNAP2-AS1	7	146778029	146794701	-
CNTNAP3	9	39064706	39288164	-
CNTNAP3B	9	43684962	43923827	+
CNTNAP3P2	9	43685195	43924057	+
CNTNAP4	16	76311298	76594652	+
CNTNAP5	2	124782863	125678795	+
CNTRL	9	123837232	123939888	+
CNTROB	17	7835398	7853238	+
COA1	7	43648055	43769140	-
COA3	17	40949642	40950722	-
COA4	11	73583712	73587891	-
COA5	2	99215776	99224975	-
COA6	1	234509201	234520826	+
COA6-AS1	1	234508552	234509339	-
COA7	1	53150120	53164019	-
COA8	14	104029296	104057236	+
COASY	17	40714165	40718295	+
COBL	7	51083908	51384558	-
COBLL1	2	165514440	165698586	-
COCH	14	31343740	31359824	+
COG1	17	71189193	71204645	+
COG2	1	230778226	230829728	+
COG3	13	46039073	46110836	+
COG4	16	70514469	70557457	-
COG5	7	106841816	107204365	-
COG6	13	40229763	40365803	+
COG7	16	23399813	23464510	-
COG8	16	69360330	69373467	-
COIL	17	55015560	55038411	-
COL10A1	6	116440071	116447295	-
COL11A1	1	103342022	103574078	-
COL11A2	6	33130468	33160245	-
COL12A1	6	75794041	75915769	-
COL13A1	10	71561661	71718900	+
COL14A1	8	121137340	121385812	+
COL15A1	9	101706188	101833069	+
COL16A1	1	32117864	32169618	-
COL17A1	10	105791043	105845638	-
COL18A1	21	46825079	46933634	+
COL18A1-AS1	21	46839630	46844985	-
COL18A1-AS2	21	46827300	46829980	-
COL19A1	6	70576447	70922170	+
COL1A1	17	48261461	48278992	-
COL1A2	7	94024206	94060539	+
COL1A2-AS1	7	93996523	94021504	-
COL20A1	20	61924537	61966203	+
COL21A1	6	55921387	56258926	-
COL22A1	8	139600477	139926284	-
COL23A1	5	177664618	178017394	-
COL24A1	1	86194915	86622667	-
COL25A1	4	109729882	110223814	-
COL25A1-DT	4	110224190	110237291	+
COL26A1	7	101006100	101202304	+
COL27A1	9	116917816	117074791	+
COL28A1	7	7397505	7575504	-
COL2A1	12	48366749	48398259	-
COL3A1	2	189839098	189877472	+
COL4A1	13	110801309	110959504	-
COL4A2	13	110959630	111165556	+
COL4A2-AS1	13	111154922	111160526	-
COL4A2-AS2	13	111108743	111115634	-
COL4A3	2	228029339	228179508	+
COL4A4	2	227867431	228028921	-
COL4A5	X	107683067	107940775	+
COL4A6	X	107398836	107682688	-
COL5A1	9	137533648	137736688	+
COL5A1-AS1	9	137541230	137544689	-
COL5A2	2	189896623	190044487	-
COL5A3	19	10070236	10121180	-
COL6A1	21	47401683	47424962	+
COL6A2	21	47518025	47552762	+
COL6A3	2	238232654	238322850	-
COL6A4P1	3	15206868	15247466	-
COL6A4P2	3	129931662	129992649	+
COL6A5	3	130064358	130203690	+
COL6A6	3	130279177	130396981	+
COL7A1	3	48601505	48632762	-
COL8A1	3	99357437	99518061	+
COL8A2	1	36560839	36590823	-
COL9A1	6	70924763	71012787	-
COL9A2	1	40766160	40782958	-
COL9A3	20	61448401	61472511	+
COLCA1	11	111164113	111175773	-
COLCA2	11	111169270	111179460	+
COLEC10	8	119964501	120120694	+
COLEC11	2	3642421	3692234	+
COLEC12	18	316736	500701	-
COLGALT1	19	17666457	17693966	+
COLGALT2	1	183898795	184006862	-
COLQ	3	15491639	15563213	-
COMETT	7	116203647	116328081	-
COMMD1	2	62115525	62368320	+
COMMD10	5	115420721	115628987	+
COMMD2	3	149456256	149470286	-
COMMD3	10	22605316	22609234	+
COMMD3-BMI1	10	22605311	22620414	+
COMMD4	15	75628403	75635567	+
COMMD4P1	15	78230562	78236903	-
COMMD4P2	15	74389453	74392547	-
COMMD5	8	146075550	146078941	-
COMMD6	13	76099349	76123575	-
COMMD7	20	31290502	31331273	-
COMMD8	4	47452805	47465747	-
COMMD9	11	36293841	36310974	-
COMP	19	18893582	18902114	-
COMT	22	19929294	19957498	+
COMTD1	10	76993398	76995715	-
COP1	1	175913961	176176422	-
COPA	1	160258383	160313040	-
COPB1	11	14479048	14521415	-
COPB2	3	139076248	139108522	-
COPE	19	19010322	19030196	-
COPG1	3	128968448	128996616	+
COPG2	7	130146079	130353598	-
COPRS	17	30178890	30186263	-
COPS2	15	49414923	49447796	-
COPS3	17	17149929	17184617	-
COPS4	4	83956335	83996971	+
COPS5	8	67955314	67974368	-
COPS6	7	99686591	99689810	+
COPS7A	12	6833211	6841030	+
COPS7B	2	232646380	232673963	+
COPS8	2	237994083	238009117	+
COPS9	2	241065979	241075764	-
COPZ1	12	54718914	54745629	+
COPZ2	17	46103532	46115159	-
COQ10A	12	56660725	56664750	+
COQ10B	2	198318146	198340033	+
COQ2	4	84184976	84206287	-
COQ3	6	99817276	99842071	-
COQ4	9	131085117	131096351	+
COQ5	12	120941081	120966961	-
COQ6	14	74416636	74430373	+
COQ7	16	19078935	19091417	+
COQ8A	1	227127994	227175245	+
COQ8B	19	41197434	41222791	-
COQ9	16	57481390	57495182	+
CORIN	4	47596014	47840123	-
CORO1A	16	30194730	30200397	+
CORO1B	11	67202980	67211292	-
CORO1C	12	109038884	109125294	-
CORO2A	9	100883256	100954919	-
CORO2B	15	68810711	69020144	+
CORO6	17	27941773	27948441	-
CORO7	16	4404542	4466597	-
CORO7-PAM16	16	4390251	4466597	-
CORT	1	10510087	10512055	+
COSMOC	18	33759963	33767398	-
COTL1	16	84599203	84651684	-
COX10	17	13972820	14111994	+
COX10-AS1	17	13932608	13972775	-
COX11	17	53029264	53046146	-
COX14	12	50506018	50514236	+
COX15	10	101454049	101491884	-
COX16	14	70791797	70826400	-
COX17	3	119382823	119396253	-
COX18	4	73918078	73935476	-
COX19	7	1004487	1015185	-
COX20	1	244998607	245008365	+
COX4I1	16	85833300	85840674	+
COX4I2	20	30225714	30232802	+
COX5A	15	75212132	75230414	-
COX5B	2	98262524	98264846	+
COX6A1	12	120875915	120878533	+
COX6A2	16	31439051	31439681	-
COX6B1	19	36139224	36149684	+
COX6B2	19	55861072	55866087	-
COX6C	8	100890092	100905935	-
COX7A1	19	36641823	36643349	-
COX7A2	6	75947390	75960014	-
COX7A2L	2	42562698	42596097	-
COX7B	X	77154964	77162873	+
COX7B2	4	46736846	46911262	-
COX7C	5	85913757	85916779	+
COX8A	11	63742091	63744015	+
COX8C	14	93813527	93814702	+
CP	3	148880203	148939616	-
CPA1	7	130020334	130027949	+
CPA2	7	129906702	129929637	+
CPA3	3	148583082	148614990	+
CPA4	7	129932973	129964020	+
CPA5	7	129984655	130008571	+
CPA6	8	68334272	68658595	-
CPAMD8	19	17003761	17137620	-
CPB1	3	148545597	148577972	+
CPB2	13	46627320	46679211	-
CPB2-AS1	13	46626982	46675482	+
CPD	17	28705944	28797007	+
CPE	4	166300159	166419699	+
CPEB1	15	83211950	83317546	-
CPEB1-AS1	15	83316520	83361572	+
CPEB2	4	15004104	15071775	+
CPEB2-DT	4	14911584	15003669	-
CPEB3	10	93806448	94050835	-
CPEB4	5	173315351	173388983	+
CPED1	7	120628764	120937496	+
CPHXL	16	75748028	75760388	-
CPLANE1	5	37106329	37249530	-
CPLANE2	1	16558186	16563678	-
CPLX1	4	778744	819917	-
CPLX2	5	175223535	175311024	+
CPLX3	15	75118967	75124138	+
CPLX4	18	56962633	56985881	-
CPM	12	69244954	69357020	-
CPN1	10	101801949	101841626	-
CPN2	3	194060496	194072057	-
CPNE1	20	34213952	34252822	-
CPNE2	16	57126494	57182281	+
CPNE3	8	87526663	87573726	+
CPNE4	3	131252403	131758450	-
CPNE5	6	36708552	36807774	-
CPNE6	14	24540157	24547296	+
CPNE7	16	89642165	89663654	+
CPNE8	12	39046004	39299393	-
CPNE9	3	9745516	9771592	+
CPO	2	207804241	207834198	+
CPOX	3	98298289	98312455	-
CPPED1	16	12753655	12897744	-
CPQ	8	97657469	98155729	+
CPS1	2	211342408	211543831	+
CPS1-IT1	2	211482294	211484599	+
CPSF1	8	145618445	145634719	-
CPSF2	14	92588312	92638489	+
CPSF3	2	9563665	9613239	+
CPSF4	7	99036562	99055000	+
CPSF4L	17	71244587	71258019	-
CPSF6	12	69633348	69668138	+
CPSF7	11	61170200	61197447	-
CPT1A	11	68522087	68609399	-
CPT1B	22	51007289	51017041	-
CPT1C	19	50194104	50216988	+
CPT2	1	53662495	53679869	+
